"Function","CPU_CLK_UNHALTED.THREAD","INST_RETIRED.ANY","OFFCORE_RESPONSE_0.ANY_DATA.IO_CSR_MMIO","CACHE_LOCK_CYCLES.L1D","LOAD_HIT_PRE","ARITH.CYCLES_DIV_BUSY","OFFCORE_RESPONSE_0.DATA_IN.ANY_DRAM","ARITH.DIV","ARITH.MUL","BR_INST_RETIRED.ALL_BRANCHES","BR_INST_RETIRED.NEAR_CALL","BR_MISP_EXEC.ANY","CPU_CLK_UNHALTED.REF_P","DTLB_MISSES.ANY","FP_MMX_TRANS.ANY","ILD_STALL.ANY","ILD_STALL.IQ_FULL","ILD_STALL.LCP","ILD_STALL.MRU","ILD_STALL.REGEN","ITLB_MISS_RETIRED","L1I.CYCLES_STALLED","L1I.MISSES","MACHINE_CLEARS.CYCLES","MEM_INST_RETIRED.LATENCY_ABOVE_THRESHOLD_32","MEM_INST_RETIRED.LOADS","MEM_INST_RETIRED.STORES","MEM_LOAD_RETIRED.HIT_LFB","MEM_LOAD_RETIRED.L1D_HIT","MEM_LOAD_RETIRED.L2_HIT","MEM_LOAD_RETIRED.LLC_MISS","MEM_LOAD_RETIRED.LLC_UNSHARED_HIT","MEM_LOAD_RETIRED.OTHER_CORE_L2_HIT_HITM","MEM_UNCORE_RETIRED.LOCAL_DRAM","MEM_UNCORE_RETIRED.OTHER_CORE_L2_HITM","MEM_UNCORE_RETIRED.REMOTE_DRAM","PARTIAL_ADDRESS_ALIAS","RAT_STALLS.ANY","RAT_STALLS.FLAGS","RAT_STALLS.REGISTERS","RAT_STALLS.ROB_READ_PORT","RESOURCE_STALLS.ANY","RESOURCE_STALLS.LOAD","RESOURCE_STALLS.ROB_FULL","RESOURCE_STALLS.RS_FULL","RESOURCE_STALLS.STORE","SQ_FULL_STALL_CYCLES","UOPS_EXECUTED.CORE_STALL_CYCLES","UOPS_ISSUED.ANY","UOPS_ISSUED.CORE_STALL_CYCLES","UOPS_ISSUED.FUSED","UOPS_RETIRED.ANY","UOPS_RETIRED.STALL_CYCLES","Module","Function (Full)"
"__ticket_spin_lock","0","2000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","__ticket_spin_lock"
"next_zones_zonelist","0","2000000","0","0","0","0","0","0","0","0","260000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","next_zones_zonelist"
"zone_nr_free_pages","0","2000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","zone_nr_free_pages"
"error_entry","0","0","0","0","0","0","0","0","0","0","520000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","error_entry"
"__inc_zone_state","0","0","0","0","0","0","0","0","0","0","260000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","__inc_zone_state"
"insert_work","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","52","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","insert_work"
"rcu_process_gp_end","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","rcu_process_gp_end"
"release_pages","0","2000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","release_pages"
"mem_cgroup_charge_common","0","2000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","mem_cgroup_charge_common"
"lru_cache_add_lru","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","65000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","lru_cache_add_lru"
"find_vma","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2600000","39","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","find_vma"
"mem_cgroup_add_lru_list","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","mem_cgroup_add_lru_list"
"_spin_lock","0","2000000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","vmlinux","_spin_lock"
